image        no.   paper label             tegula id  source
p67_13.png   288   3_2 5_2 - 9e NF pgg     25531      picked
p67_20.png   289   3_2 5_2 - 10a MNF pgg   25537      picked
p67_21.png   290   3_2 5_2 - 11a MN pmm    313        picked
p67_22.png   291   3_2 5_2 - 11b NF cmm    25451      picked
p67_23.png   292   3_2 5_2 - 11c NF pmg    25474      picked
p67_30.png   293   3_2 5_2 - 11d NF pmg    25470      picked
p67_31.png   294   3_2 5_2 - 11e NF p2     25512      picked
p67_32.png   295   3_2 5_4 - a M cmm       1662       picked
p67_33.png   296   3_2 5_4 - 1a MN cmm     1660       picked
p67_40.png   297   3_2 5_4 - 2a MN p4g     1659       auto
p67_41.png   298   3_2 5_4 - 3a MN cmm     1658       picked
p67_42.png   299   3_3 5_1 - 1a MN p6m     90         auto
p67_43.png   300   3_3 5_1 - 1b N p31m     3143       picked
p68_00.png   301   3_3 5_1 - 1c N p6       3145       auto
p68_01.png   302   3_3 5_1 - 2a MN p3m1    91         auto
p68_02.png   303   3_3 5_1 - 2b N p3       3146       picked
p68_03.png   304   3_3 5_1 - 3a MN p31m    102        picked
p68_10.png   305   3_3 5_1 - 3b N p3       3158       picked
p68_11.png   306   3_3 5_3 - 1a MNF p2     25545      picked
p68_12.png   307   3_3 5_3 - 2a MNF pmg    25494      picked
p68_13.png   308   3_3 5_3 - 3a MNF p6     25586      picked
p68_20.png   309   3_3 5_3 - 4a MNF pgg    25636      picked
p68_21.png   310   3_3 5_3 - 5a MNF p4     25585      auto
p68_22.png   311   3_3 5_3 - 6a MNF p6     25584      picked
p68_23.png   312   3_3 5_3 - 7a MNF pgg    25544      picked
p68_30.png   313   3_3 5_3 - 8a MN cm      358        auto
p68_31.png   314   3_3 5_3 - 8b NF pg      25632      picked
p68_32.png   315   3_3 5_3 - 8c NF p1      25633      auto
p68_33.png   316   3_3 5_3 - 9a MNF pg     25640      picked
p68_40.png   317   3_3 5_3 - 10a MN p31m   365        auto
p68_41.png   318   3_3 5_3 - 10b NF p3     25583      auto
p68_42.png   319   3_3 5_3 - 11a MN pmg    366        picked
p68_43.png   320   3_3 5_3 - 11b NF p2     25526      picked
p69_00.png   321   3_3 5_3 - 11c NF pgg    25596      picked
p69_01.png   322   3_3 5_3 - 11d NF pgg    25527      picked
p69_02.png   323   3_3 5_3 - 11e NF pg     25597      picked
p69_03.png   324   3_1 6_1 - 1a MNF p6     72915      picked
p69_10.png   325   3_1 6_1 - 2a MNF p4     72914      auto
p69_11.png   326   3_1 6_1 - 3a MNF p6     72913      picked
p69_12.png   327   3_1 6_2 - a M p4m       2888       picked
p69_13.png   328   3_1 6_2 - b M p6m       2890       picked
p69_20.png   329   3_1 6_2 - c M p6m       2886       picked
p69_21.png   330   3_1 6_2 - d M cmm       2997       picked
p69_22.png   331   3_1 6_2 - e M cmm       2998       picked
p69_23.png   332   3_1 6_2 - f M p4g       3081       picked
p69_30.png   333   3_1 6_2 - 1a MN p6m     121        picked
p69_31.png   334   3_1 6_2 - 1b N p6       3208       picked
p69_32.png   335   3_1 6_2 - 1c N p31m     3083       picked
p69_33.png   336   3_1 6_2 - 2a MN p6m     2889       picked
p69_40.png   337   3_1 6_2 - 3a MN p3m1    2885       picked
p69_41.png   338   3_1 6_2 - 4a MN p4m     2887       picked
p69_42.png   339   3_1 6_2 - 5a MN p6m     2884       picked
p69_43.png   340   3_1 6_2 - 6a MN p31m    3080       picked
p70_00.png   341   3_1 6_2 - 7a MN pmg     3001       picked
p70_01.png   342   3_1 6_2 - 8a MN p6m     2992       picked
p70_02.png   343   3_1 6_2 - 9a MN p4m     120        picked
p70_03.png   344   3_1 6_2 - 9b N cmm      3168       picked
p70_10.png   345   3_1 6_2 - 9c N p4       3207       auto
p70_11.png   346   3_1 6_2 - 9d N p4m      2991       picked
p70_12.png   347   3_1 6_2 - 9e N p4g      3082       picked
p70_13.png   348   3_1 6_2 - 10a MN pmm    2274       auto
p70_20.png   349   3_1 6_2 - 11a MN cmm    2996       picked
p70_21.png   350   3_1 6_2 - 12a MN p6m    119        picked
p70_22.png   351   3_1 6_2 - 12b N p6      3206       picked
p70_23.png   352   3_1 6_2 - 12c N p3m1    2990       picked
p70_30.png   353   3_1 6_2 - 13a MN pmg    3000       picked
p70_31.png   354   3_1 6_3 - 1a MN p6m     67         auto
p70_32.png   355   3_1 6_3 - 1b N p31m     1136       auto
p70_33.png   356   3_1 6_3 - 1c N p6       1142       auto
p70_40.png   357   3_1 6_4 - a M pmm       587        picked
p70_41.png   358   3_1 6_4 - 1a MN cmm     597        picked
p70_42.png   359   3_1 6_4 - 2a MN pmm     586        picked
p70_43.png   360   3_1 6_4 - 3a MN cmm     593        picked
p71_00.png   361   3_1 6_6 - a M p6m       396        picked
p71_01.png   362   3_1 6_6 - 1a MN p6m     36         picked
p71_02.png   363   3_1 6_6 - 1b N p6       421        auto
p71_03.png   364   3_1 6_6 - 1c N p31m     404        auto
p71_10.png   365   3_1 6_6 - 2a MN p3m1    395        auto
p71_11.png   366   3_1 6_6 - 3a MN p6m     394        picked
p71_12.png   367   3_2 6_2 - a M p4m       552        picked
p71_13.png   368   3_2 6_2 - b M p6m       553        picked
p71_20.png   369   3_2 6_2 - c M p6m       551        picked
p71_21.png   370   3_2 6_2 - d M cmm       554        picked
p71_22.png   371   3_2 6_2 - e M cmm       555        picked
p71_23.png   372   3_2 6_2 - f M p4g       567        picked
p71_30.png   373   3_2 6_2 - g MF pmg      72681      picked
p71_31.png   374   3_2 6_2 - h MF p2       72784      picked
p71_32.png   375   3_2 6_2 - i MF p6       72852      picked
p71_33.png   376   3_2 6_2 - j MF pmg      72699      picked
p71_40.png   377   3_2 6_2 - k F p4        72851      picked
p71_41.png   378   3_2 6_2 - l F pgg       72853      picked
p71_42.png   379   3_2 6_2 - m F cmm       72668      picked
p71_43.png   380   3_2 6_2 - n F p2        72806      picked
p72_00.png   381   3_2 6_2 - o F p2        72805      picked
p72_01.png   382   3_2 6_2 - p F pgg       72838      picked
p72_02.png   383   3_2 6_2 - q F pgg       72839      picked
p72_03.png   384   3_2 6_2 - r F p4        72836      picked
p72_10.png   385   3_2 6_2 - s F p6        72837      picked
p72_11.png   386   3_2 6_2 - t F p6        72835      picked
p72_12.png   387   3_2 6_2 - 1a MN p6m     577        picked
p72_13.png   388   3_2 6_2 - 1b NF p31m    72677      auto
p72_20.png   389   3_2 6_2 - 1c NF p6      72873      picked
p72_21.png   390   3_2 6_2 - 2a MN pmm     530        picked
p72_22.png   391   3_2 6_2 - 2b NF cmm     72634      picked
p72_23.png   392   3_2 6_2 - 2c NF pmg     72702      picked
p72_30.png   393   3_2 6_2 - 2d NF pmg     72693      picked
p72_31.png   394   3_2 6_2 - 2e NF p2      72796      picked
p72_32.png   395   3_2 6_2 - 3a MN p6m     575        picked
p72_33.png   396   3_2 6_2 - 3b NF p6      72871      picked
p72_40.png   397   3_2 6_2 - 4a MN p4m     576        picked
p72_41.png   398   3_2 6_2 - 4b NF p4g     72676      picked
p72_42.png   399   3_2 6_2 - 4c NF p4      72872      picked
p72_43.png   400   3_2 6_2 - 5a MN cmm     585        picked
p73_00.png   401   3_2 6_2 - 5b NF cm      72728      picked
p73_01.png   402   3_2 6_2 - 5c NF pgg     72893      picked
p73_02.png   403   3_2 6_2 - 6a MN pmm     528        picked
p73_03.png   404   3_2 6_2 - 6b NF pm      72689      auto
p73_10.png   405   3_2 6_2 - 6c NF pmg     72712      picked
p73_11.png   406   3_2 6_2 - 6d NF pmg     72690      picked
p73_12.png   407   3_2 6_2 - 6e NF p2      72793      picked
p73_13.png   408   3_2 6_2 - 7a MN cmm     556        picked
p73_20.png   409   3_2 6_2 - 7b NF pmg     72708      picked
p73_21.png   410   3_2 6_2 - 7c NF cm      72709      picked
p73_22.png   411   3_2 6_2 - 7d NF p2      72804      picked
p73_23.png   412   3_2 6_2 - 7e NF pgg     72840      picked
p73_30.png   413   3_2 6_2 - 8a MN cmm     572        picked
p73_31.png   414   3_2 6_2 - 8b NF p2      72809      picked
p73_32.png   415   3_2 6_2 - 8c NF pgg     72858      picked
p73_33.png   416   3_2 6_4 - a M pmg       3016       picked
p73_40.png   417   3_2 6_4 - b M pmm       106        picked
p73_41.png   418   3_2 6_4 - c pmg         3179       picked
p73_42.png   419   3_2 6_4 - d p2          3195       picked
p73_43.png   420   3_2 6_4 - e pm          3095       picked
p74_00.png   421   3_2 6_4 - f pmg         3098       picked
p74_01.png   422   3_2 6_4 - g cmm         2440       picked
p74_02.png   423   3_2 6_4 - h pmg         2874       picked
p74_03.png   424   3_2 6_4 - 1a MN pmg     3015       picked
p74_10.png   425   3_2 6_4 - 2a MN cm      3096       auto
p74_11.png   426   3_2 6_4 - 3a MN p31m    2993       auto
p74_12.png   427   3_2 6_4 - 4a MN pmm     105        picked
p74_13.png   428   3_2 6_4 - 4b N pmg      3178       picked
p74_20.png   429   3_2 6_4 - 4c N p2       3194       picked
p74_21.png   430   3_2 6_4 - 4d N cmm      3099       picked
