id,m,si,orient,off,curves,patch_ov,angles,lengths,whichEdge,mapping,iso_criteria,deep_criteria,aniso,min_block,block_criteria,block_bound,min_angle,spike_fatal,edge_ratio,on_clamp,vertex_figure,vdeg_match,homeo,wp,orbifold,evidence
30,3,0,1,1,III,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 0 0,0 0 0,"1,2,6,8",,no (tile),,,,60.00,,1.0000,,6,yes,3_3 3_1,p6m,*632,L3
30,3,0,1,2,III,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 0 0,0 0 0,"1,2,6,8",,no (tile),,,,60.00,,1.0000,,6,yes,3_3 3_1,p6m,*632,L3
54,3,0,0,0,SSS,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 0 0,0 0 0,"1,8",,no (tile),,,,60.00,,1.0000,,6,yes,3_3 3_3,p3,333,L3
54,3,0,0,1,SSS,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 0 0,0 0 0,"1,8",,no (tile),,,,60.00,,1.0000,,6,yes,3_3 3_3,p3,333,L3
54,3,0,0,2,SSS,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 0 0,0 0 0,"1,8",,no (tile),,,,60.00,,1.0000,,6,yes,3_3 3_3,p3,333,L3
54,3,0,1,0,III,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 0 0,0 0 0,"1,2,6,8",,no (tile),,,,60.00,,1.0000,,6,yes,3_3 3_3,p3,333,L3
54,3,0,1,1,III,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 0 0,0 0 0,"1,2,6,8",,no (tile),,,,60.00,,1.0000,,6,yes,3_3 3_3,p3,333,L3
54,3,0,1,2,III,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 0 0,0 0 0,"1,2,6,8",,no (tile),,,,60.00,,1.0000,,6,yes,3_3 3_3,p3,333,L3
104,3,0,0,0,III,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 0 0,0 0 0,"1,2,6,8",,no (tile),,,,60.00,,1.0000,,6,yes,3_2 3_2,pmm,*2222,L3
104,3,0,0,1,ISS,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 1 1,0 0 1,"1,2,6",,no (tile),,,,60.00,,1.0000,,6,yes,3_2 3_2,pmm,*2222,L3
104,3,0,0,2,III,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 0 0,0 0 0,"1,2,6,8",,no (tile),,,,60.00,,1.0000,,6,yes,3_2 3_2,pmm,*2222,L3
104,3,0,1,0,ISS,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 1 1,0 0 1,"1,2,6",,no (tile),,,,60.00,,1.0000,,6,yes,3_2 3_2,pmm,*2222,L3
104,3,0,1,1,III,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 0 0,0 0 0,"1,2,6,8",,no (tile),,,,60.00,,1.0000,,6,yes,3_2 3_2,pmm,*2222,L3
104,3,0,1,2,III,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 0 0,0 0 0,"1,2,6,8",,no (tile),,,,60.00,,1.0000,,6,yes,3_2 3_2,pmm,*2222,L3
108,3,0,0,2,III,not tested,45.00 45.00 90.00,1.0000 0.7071 0.7071,0 1 1,0 0 0,"1,2,6,9",,no (tile),,,,45.00,,0.7071,,4 8,yes,3_2 3_2,pmm,*2222,L3
108,3,0,1,2,III,not tested,45.00 45.00 90.00,1.0000 0.7071 0.7071,0 1 1,0 0 0,"1,2,6,9",,no (tile),,,,45.00,,0.7071,,4 8,yes,3_2 3_2,pmm,*2222,L3
116,3,0,0,0,III,not tested,45.00 45.00 90.00,1.0000 0.7071 0.7071,0 1 1,0 0 0,"1,2,6,9",,no (tile),,,,45.00,,0.7071,,4 8,yes,3_1 3_1,p4m,*442,L3
116,3,0,1,1,III,not tested,45.00 45.00 90.00,1.0000 0.7071 0.7071,0 1 1,0 0 0,"1,2,6,9",,no (tile),,,,45.00,,0.7071,,4 8,yes,3_1 3_1,p4m,*442,L3
118,3,0,0,0,III,not tested,30.00 30.00 120.00,1.0000 0.5774 0.5774,0 1 1,0 0 0,"1,2,6,8",,no (tile),,,,30.00,,0.5774,,3 12,yes,3_1 3_1,p3m1,*333,L3
118,3,0,1,1,III,not tested,30.00 30.00 120.00,1.0000 0.5774 0.5774,0 1 1,0 0 0,"1,2,6,8",,no (tile),,,,30.00,,0.5774,,3 12,yes,3_1 3_1,p3m1,*333,L3
123,3,0,0,0,ISS,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 1 1,0 0 1,"1,2,6",,no (tile),,,,60.00,,1.0000,,6,yes,3_1 3_1,pmg,22*,L2
123,3,0,0,1,III,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 0 0,0 0 0,"1,2,6,8",,no (tile),,,,60.00,,1.0000,,6,yes,3_1 3_1,pmg,22*,L2
123,3,0,0,2,III,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 0 0,0 0 0,"1,2,6,8",,no (tile),,,,60.00,,1.0000,,6,yes,3_1 3_1,pmg,22*,L2
123,3,0,1,0,III,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 0 0,0 0 0,"1,2,6,8",,no (tile),,,,60.00,,1.0000,,6,yes,3_1 3_1,pmg,22*,L2
123,3,0,1,1,ISS,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 1 1,0 0 1,"1,2,6",,no (tile),,,,60.00,,1.0000,,6,yes,3_1 3_1,pmg,22*,L2
123,3,0,1,2,III,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 0 0,0 0 0,"1,2,6,8",,no (tile),,,,60.00,,1.0000,,6,yes,3_1 3_1,pmg,22*,L2
127,3,0,0,0,III,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 1 1,0 0 0,"1,2,6,8",,no (tile),,,,60.00,,1.0000,,6,yes,3_3 3_3,p31m,3*3,L3
127,3,0,0,1,III,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 0 0,0 0 0,"1,2,6,8",,no (tile),,,,60.00,,1.0000,,6,yes,3_3 3_3,p31m,3*3,L3
127,3,0,0,2,III,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 0 0,0 0 0,"1,2,6,8",,no (tile),,,,60.00,,1.0000,,6,yes,3_3 3_3,p31m,3*3,L3
127,3,0,1,0,III,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 0 0,0 0 0,"1,2,6,8",,no (tile),,,,60.00,,1.0000,,6,yes,3_3 3_3,p31m,3*3,L3
127,3,0,1,1,III,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 1 1,0 0 0,"1,2,6,8",,no (tile),,,,60.00,,1.0000,,6,yes,3_3 3_3,p31m,3*3,L3
127,3,0,1,2,III,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 0 0,0 0 0,"1,2,6,8",,no (tile),,,,60.00,,1.0000,,6,yes,3_3 3_3,p31m,3*3,L3
128,3,0,0,0,III,not tested,45.00 45.00 90.00,1.0000 0.7071 0.7071,0 1 1,0 0 0,"1,2,6,9",,no (tile),,,,45.00,,0.7071,,4 8,yes,3_3 3_3,p4g,4*2,L3
128,3,0,1,1,III,not tested,45.00 45.00 90.00,1.0000 0.7071 0.7071,0 1 1,0 0 0,"1,2,6,9",,no (tile),,,,45.00,,0.7071,,4 8,yes,3_3 3_3,p4g,4*2,L3
130,3,0,0,0,ISS,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 1 1,0 0 1,"1,2,6",,no (tile),,,,60.00,,1.0000,,6,yes,3_3 3_3,cm,1*x,L2
130,3,0,0,1,III,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 0 0,0 0 0,"1,2,6,8",,no (tile),,,,60.00,,1.0000,,6,yes,3_3 3_3,cm,1*x,L2
130,3,0,0,2,III,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 0 0,0 0 0,"1,2,6,8",,no (tile),,,,60.00,,1.0000,,6,yes,3_3 3_3,cm,1*x,L2
130,3,0,1,0,III,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 0 0,0 0 0,"1,2,6,8",,no (tile),,,,60.00,,1.0000,,6,yes,3_3 3_3,cm,1*x,L2
130,3,0,1,1,ISS,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 1 1,0 0 1,"1,2,6",,no (tile),,,,60.00,,1.0000,,6,yes,3_3 3_3,cm,1*x,L2
